lanp16,lanp16_label,langsos,langsoslbl,langoha,langohastr,langohalbl,langc39,lc39label,langc42,lc42label,langc12,lc12label,langc5,lc5label
2475,Lao,57,Lao,39,qtl,"Thai, Lao, or other Tai-Kadai languages",lao,Lao,tlk,"Thai, Lao, or other Tai-Kadai languages",oap,Other Asian and Pacific Island languages,api,Asian and Pacific Island languages
2525,Iu Mien,58,Iu Mien/Yao,22,qas,Other languages of Asia,oas,Other Asian languages,oas,Other languages of Asia,oap,Other Asian and Pacific Island languages,api,Asian and Pacific Island languages
2535,Hmong,59,Hmong/Miao,15,hmn,Hmong,hmo,Hmong,hmo,Hmong,oap,Other Asian and Pacific Island languages,api,Asian and Pacific Island languages
2560,Japanese,60,Japanese,17,jpn,Japanese,jap,Japanese,jap,Japanese,oap,Other Asian and Pacific Island languages,api,Asian and Pacific Island languages
2575,Korean,61,Korean,19,kor,Korean,kor,Korean,kor,Korean,kor,Korean,api,Asian and Pacific Island languages
2715,Malay,62,Indonesian,26,qau,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",opi,Other Pacific Island languages,opi,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",oap,Other Asian and Pacific Island languages,api,Asian and Pacific Island languages
2770,Indonesian,62,Indonesian,26,qau,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",opi,Other Pacific Island languages,opi,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",oap,Other Asian and Pacific Island languages,api,Asian and Pacific Island languages
2850,Other languages of Asia,63,Other Asian,26,qau,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",opi,Other Pacific Island languages,opi,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",oap,Other Asian and Pacific Island languages,api,Asian and Pacific Island languages
2910,Filipino,64,Tagalog,38,qtf,Tagalog (incl. Filipino),tgl,Tagalog,tgl,Tagalog (incl. Filipino),tgl,Tagalog (incl. Filipino),api,Asian and Pacific Island languages
2920,Tagalog,64,Tagalog,38,qtf,Tagalog (incl. Filipino),tgl,Tagalog,tgl,Tagalog (incl. Filipino),tgl,Tagalog (incl. Filipino),api,Asian and Pacific Island languages
2950,Cebuano,65,Cebuano/Bisayan,26,qau,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",opi,Other Pacific Island languages,opi,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",oap,Other Asian and Pacific Island languages,api,Asian and Pacific Island languages
3150,Ilocano,66,Ilocano,26,qau,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",opi,Other Pacific Island languages,opi,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",oap,Other Asian and Pacific Island languages,api,Asian and Pacific Island languages
3190,Other Philippine languages,67,Other Philippines,26,qau,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",opi,Other Pacific Island languages,opi,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",oap,Other Asian and Pacific Island languages,api,Asian and Pacific Island languages
3220,Chamorro,68,Chamorro,26,qau,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",opi,Other Pacific Island languages,opi,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",oap,Other Asian and Pacific Island languages,api,Asian and Pacific Island languages
3270,Marshallese,69,Marshallese,26,qau,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",opi,Other Pacific Island languages,opi,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",oap,Other Asian and Pacific Island languages,api,Asian and Pacific Island languages
3350,Chuukese,70,Chuukese,26,qau,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",opi,Other Pacific Island languages,opi,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",oap,Other Asian and Pacific Island languages,api,Asian and Pacific Island languages
3420,Samoan,71,Samoan,26,qau,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",opi,Other Pacific Island languages,opi,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",oap,Other Asian and Pacific Island languages,api,Asian and Pacific Island languages
3500,Tongan,72,Tongan,26,qau,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",opi,Other Pacific Island languages,opi,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",oap,Other Asian and Pacific Island languages,api,Asian and Pacific Island languages
3570,Hawaiian,73,Hawaiian,26,qau,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",opi,Other Pacific Island languages,opi,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",oap,Other Asian and Pacific Island languages,api,Asian and Pacific Island languages
3600,Other Eastern Malayo-Polynesian languages,74,Other NHPI,26,qau,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",opi,Other Pacific Island languages,opi,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",oap,Other Asian and Pacific Island languages,api,Asian and Pacific Island languages
4500,Arabic,75,Arabic,2,qau,Arabic,ara,Arabic,ara,Arabic,ara,Arabic,oth,Other and unspecified languages
4545,Hebrew,76,Hebrew,13,heb,Hebrew,heb,Hebrew,heb,Hebrew,oth,Other and unspecified languages,oth,Other and unspecified languages
4560,Assyrian Neo-Aramaic,77,Syriac,28,und,Other and unspecified languages,oth,Other and unspecified languages,afa,"Amharic, Somali, or other Afro-Asiatic languages",oth,Other and unspecified languages,oth,Other and unspecified languages
4565,Chaldean Neo-Aramaic,77,Syriac,28,und,Other and unspecified languages,oth,Other and unspecified languages,afa,"Amharic, Somali, or other Afro-Asiatic languages",oth,Other and unspecified languages,oth,Other and unspecified languages
4590,Amharic,78,Amharic,1,qaa,"Amharic, Somali, or other Afro-Asiatic languages",afr,African languages,afa,"Amharic, Somali, or other Afro-Asiatic languages",oth,Other and unspecified languages,oth,Other and unspecified languages
4640,Tigrinya,79,Tigrinya,1,qaa,"Amharic, Somali, or other Afro-Asiatic languages",afr,African languages,afa,"Amharic, Somali, or other Afro-Asiatic languages",oth,Other and unspecified languages,oth,Other and unspecified languages
